Age,Grade,Gender,Year,Number,Sector
15,C1,MA,1991,28284,PUB
15,C2,FE,1991,24149,PUB
15,C2,MA,1991,34518,PUB
15,C3,FE,1991,27751,PUB
15,C3,MA,1991,34155,PUB
16,C1,FE,1991,5789,PUB
16,C1,MA,1991,11168,PUB
16,C2,FE,1991,16467,PUB
16,C2,MA,1991,26555,PUB
16,C3,FE,1991,32774,PUB
16,C3,MA,1991,43696,PUB
17,C1,FE,1991,1210,PUB
17,C1,MA,1991,2597,PUB
17,C2,FE,1991,7095,PUB
17,C2,MA,1991,12568,PUB
17,C3,FE,1991,29862,PUB
17,C3,MA,1991,42083,PUB
18,C1,FE,1991,242,PUB
18,C1,MA,1991,564,PUB
18,C2,FE,1991,2103,PUB
18,C2,MA,1991,3524,PUB
18,C3,FE,1991,19313,PUB
18,C3,MA,1991,28779,PUB
19,C2,FE,1991,352,PUB
19,C2,MA,1991,589,PUB
19,C3,FE,1991,7359,PUB
19,C3,MA,1991,10784,PUB
20,C2,FE,1991,40,PUB
20,C2,MA,1991,141,PUB
20,C3,FE,1991,1978,PUB
20,C3,MA,1991,2909,PUB
21,C3,FE,1991,196,PUB
21,C3,MA,1991,371,PUB
15,C1,FE,1992,12484,PUB
15,C1,MA,1992,25117,PUB
15,C2,FE,1992,25012,PUB
15,C2,MA,1992,36941,PUB
15,C3,FE,1992,30777,PUB
15,C3,MA,1992,37428,PUB
16,C1,FE,1992,4181,PUB
16,C1,MA,1992,9737,PUB
16,C2,FE,1992,14513,PUB
16,C2,MA,1992,24517,PUB
16,C3,FE,1992,33871,PUB
16,C3,MA,1992,45047,PUB
17,C1,FE,1992,957,PUB
17,C1,MA,1992,2188,PUB
17,C2,FE,1992,5698,PUB
17,C2,MA,1992,10891,PUB
17,C3,FE,1992,28349,PUB
17,C3,MA,1992,41418,PUB
18,C1,FE,1992,131,PUB
18,C1,MA,1992,473,PUB
18,C2,FE,1992,1536,PUB
18,C2,MA,1992,2817,PUB
18,C3,FE,1992,17073,PUB
18,C3,MA,1992,26367,PUB
19,C2,FE,1992,216,PUB
19,C2,MA,1992,461,PUB
19,C3,FE,1992,6698,PUB
19,C3,MA,1992,10592,PUB
20,C2,FE,1992,22,PUB
20,C2,MA,1992,102,PUB
20,C3,FE,1992,1109,PUB
20,C3,MA,1992,1889,PUB
21,C3,FE,1992,179,PUB
21,C3,MA,1992,345,PUB
15,C1,FE,1993,14164,PUB
15,C1,MA,1993,29021,PUB
15,C2,FE,1993,24189,PUB
15,C2,MA,1993,36701,PUB
15,C3,FE,1993,33952,PUB
15,C3,MA,1993,42654,PUB
